ambiguity_type,resolution,resolution_note,player_id,db_name,db_matches,db_intl_matches,db_club_matches,db_last_match,db_team_type,db_teams,db_reg_name_count,sheet_player_id,sheet_batting_name,sheet_country,sheet_major_teams,sheet_dob,sheet_intl_innings,sheet_club_t20_innings,sheet_playercard_url
B_sheet_name_country_collision,,,80b2fb19,Prince Yadav,23,1,22,2026-06-28 00:00:00,international/club,India|Lucknow Super Giants|Delhi,,1300836,Prince Yadav,India,Uttar Pradesh,1998-01-02T00:00Z,0,4,https://www.espncricinfo.com/ci/content/player/1300836.html
C_exact_unique_evidence_failed,,,b7096165,SHB Morgan,19,0,19,2026-06-28 00:00:00,/club,Middlesex,1.0,1381686,SHB Morgan,England,England Under-19s|Middlesex 2nd XI,2007-08-30T00:00Z,0,2,https://www.espncricinfo.com/ci/content/player/1381686.html
A_db_name_collision,,,9dc8bc5c,Ibrar Ahmad,8,8,0,2026-06-28 00:00:00,international,Hungary,2.0,1460538,Ibrar Ahmad,United Arab Emirates,Abu Dhabi Knight Riders|Deccan Gladiators,2004-04-03T00:00Z,0,16,https://www.espncricinfo.com/ci/content/player/1460538.html
A_db_name_collision,,,9dc8bc5c,Ibrar Ahmad,8,8,0,2026-06-28 00:00:00,international,Hungary,2.0,1490899,Ibrar Ahmad,Hungary,Hungary,2001-07-13T00:00Z,6,6,https://www.espncricinfo.com/ci/content/player/1490899.html
C_exact_unique_evidence_failed,,,75855e23,Ratul Khan,2,2,0,2026-06-28 00:00:00,international,Czech Republic,1.0,990151,Ratul Khan,Bangladesh,Krira Shikkha Protisthan Under-18s,2001-06-30T00:00Z,0,2,https://www.espncricinfo.com/ci/content/player/990151.html
C_exact_unique_evidence_failed,,,e941cd33,AR Lamba,8,0,8,2026-06-27 00:00:00,/club,Texas Super Kings|Rajasthan,1.0,642533,AR Lamba,India,India Under-19s|Rajasthan Under-19s,1995-10-31T00:00Z,0,12,https://www.espncricinfo.com/ci/content/player/642533.html
C_exact_unique_evidence_failed,,,9b95bb87,L Mcfadzean,1,1,0,2026-06-27 00:00:00,international,Belize,1.0,1543308,L Mcfadzean,TBA,Belize,,0,1,https://www.espncricinfo.com/ci/content/player/1543308.html
C_exact_unique_evidence_failed,,,8e7be59c,PA Chatterji,121,98,23,2026-06-26 00:00:00,international/club,Central Districts|Scotland|Surrey|South East Stars,1.0,536977,PA Chatterji,India,Baroda,1989-11-12T00:00Z,0,5,https://www.espncricinfo.com/ci/content/player/536977.html
D_female_db_vs_male_sheet,,,8e7be59c,PA Chatterji,121,98,23,2026-06-26 00:00:00,international/club,Central Districts|Scotland|Surrey|South East Stars,1.0,536977,PA Chatterji,India,Baroda,1989-11-12T00:00Z,0,5,https://www.espncricinfo.com/ci/content/player/536977.html
C_exact_unique_evidence_failed,,,764f35d8,N Sharma,20,8,12,2026-06-26 00:00:00,international/club,United Arab Emirates|Middlesex,1.0,1385804,N Sharma,England,England Under-19s|Middlesex 2nd XI,2005-09-10T00:00Z,0,4,https://www.espncricinfo.com/ci/content/player/1385804.html
A_db_name_collision,,,a1cbdeeb,Rohit Sharma,3,3,0,2026-06-26 00:00:00,international,Indonesia,2.0,924355,Rohit Sharma,India,Jammu & Kashmir|Jammu & Kashmir Under-19s|Jammu & Kashmir Under-22s,1994-09-05T00:00Z,0,10,https://www.espncricinfo.com/ci/content/player/924355.html
A_db_name_collision,,,a1cbdeeb,Rohit Sharma,3,3,0,2026-06-26 00:00:00,international,Indonesia,2.0,1542004,Rohit Sharma,Indonesia,Indonesia,1986-05-02T00:00Z,0,3,https://www.espncricinfo.com/ci/content/player/1542004.html
A_db_name_collision,,,18a0ba24,S Smith,34,34,0,2026-06-25 00:00:00,international,Bermuda,2.0,348136,S Smith,Bermuda,Bermuda|Americas Under-15s|Bermuda Under-19s,1991-09-27T00:00Z,32,32,https://www.espncricinfo.com/ci/content/player/348136.html
A_db_name_collision,,,987187b9,Zeeshan Ali,82,82,0,2026-06-22 00:00:00,international,Hong Kong,3.0,386302,Zeeshan Ali,Hong Kong,Hong Kong|Lahore Ravi|Pakistan Customs|State Bank of Pakistan,1989-06-16T00:00Z,68,74,https://www.espncricinfo.com/ci/content/player/386302.html
A_db_name_collision,,,987187b9,Zeeshan Ali,82,82,0,2026-06-22 00:00:00,international,Hong Kong,3.0,1496498,Zeeshan Ali,Estonia,Estonia,1992-12-21T00:00Z,12,12,https://www.espncricinfo.com/ci/content/player/1496498.html
A_db_name_collision,,,f93b43dd,SK Patel,54,29,25,2026-06-21 00:00:00,international/club,United States of America|Texas Super Kings|Baroda|Barbados Royals|Tripura,2.0,532853,SK Patel,United States of America,United States of America|Barbados Royals|Baroda|Goa|Gujarat|Gujarat Under-19s|India Blue|India Under-19s|India Under-23s|Indian Board President's XI|New York Warriors|San Francisco Unicorns|Texas Super Kings|Tripura|West Zone,1993-05-16T00:00Z,22,42,https://www.espncricinfo.com/ci/content/player/532853.html
